generation,num_eval,time,kendalltau,rank_dif,rmse
1,11,1907.9689619541168,0.1266666666666666,176.0,864.8658272200778
2,14,1916.2970385551453,-0.0199999999999999,210.0,1204.898845820108
3,17,1892.905865192413,0.0266666666666666,202.0,1122.8568438233513
4,20,1944.484278678894,0.0,204.0,1120.52725726355
5,23,1903.8625802993768,-0.0799999999999999,210.0,1116.353236235151
6,26,1922.3124573230743,-0.0866666666666666,212.0,1099.9794967399305
7,29,1870.1094295978544,-0.0399999999999999,210.0,1295.5298383124016
8,32,1878.0938408374784,0.0199999999999999,202.0,1118.4741705809463
9,35,1891.0469172000885,0.0933333333333333,182.0,1103.724834599425
10,38,1922.3580348491669,0.0133333333333333,196.0,1111.248420674645
11,41,1921.8283071517944,-0.1399999999999999,228.0,1020.6103653429816
12,44,1966.9809160232544,-0.1533333333333333,230.0,987.958209606396
13,47,1919.51601099968,-0.0866666666666666,220.0,1054.6657120862626
14,50,1965.8248629570007,0.0066666666666666,206.0,1026.7043350427728
15,53,1933.6922080516813,-0.1333333333333333,228.0,1065.3163305840092
16,56,1924.169608592987,-0.0933333333333333,224.0,1083.9659641099731
17,59,1907.4056663513184,-0.1266666666666666,220.0,1098.266235471221
18,62,1954.2107338905328,-0.1066666666666666,220.0,1114.6800196639424
19,65,1910.62494301796,-0.1066666666666666,220.0,1120.750820325136
20,68,1882.270446777344,-0.0599999999999999,210.0,1139.731680528662
21,71,1915.191267967224,-0.1933333333333333,228.0,1022.8898291190044
22,74,1893.3279976844788,-0.1733333333333332,228.0,1061.2115492117034
23,77,1922.438677072525,-0.1666666666666666,228.0,1023.418560491492
24,80,1940.1773853302,-0.1399999999999999,222.0,1036.1819676088178
25,83,1889.547270298004,-0.1533333333333333,226.0,1010.0911301964225
26,86,1933.8383071422577,-0.1266666666666666,222.0,997.0602456792768
27,89,1905.7439169883728,-0.1266666666666666,224.0,962.0378088114932
28,92,1949.5002217292783,-0.1133333333333333,218.0,963.1237125900038
29,95,1881.937957048416,-0.1399999999999999,226.0,957.156876795839
30,98,1900.9898600578308,-0.1599999999999999,228.0,1016.2947267785516
31,101,1925.3297219276428,-0.1533333333333333,228.0,1013.1986167070856
32,104,1977.1401617527008,-0.1399999999999999,222.0,1015.3749105643524
33,107,1941.71498131752,-0.1933333333333333,248.0,1019.0400946541632
34,110,1926.840142250061,-0.1533333333333333,236.0,1046.2665485840157
35,113,1976.4705276489256,-0.1466666666666666,230.0,1017.3174273441232
36,116,2057.26571393013,-0.1199999999999999,226.0,1036.1027210683333
37,119,2015.9057817459104,-0.1199999999999999,226.0,1032.3567382401473
38,122,2008.724338531494,0.0533333333333333,200.0,1217.999485089645
39,125,2031.8860278129573,-0.0533333333333333,218.0,1077.0187919952568
40,128,2000.5658385753632,-0.1133333333333333,230.0,1063.698649272898
41,131,2047.5936348438263,-0.0999999999999999,224.0,1062.5833021164592
42,134,2009.890610456467,-0.1199999999999999,228.0,1056.773166193344
43,137,2056.77095079422,-0.1333333333333333,220.0,844.08971733793
44,140,2035.4568183422089,-0.3199999999999999,248.0,714.7489153252214
45,143,2073.937319278717,-0.1066666666666666,222.0,851.58593561415
46,146,2028.8932800292969,-0.0933333333333333,222.0,863.8542241042422
47,149,2046.0809032917025,-0.0733333333333333,216.0,794.3282377495178
48,152,2018.0304787158968,-0.1466666666666666,224.0,857.0216838784972
49,155,2053.6974835395813,-0.0933333333333333,222.0,858.2105490087927
50,158,2023.593900680542,-0.1733333333333332,228.0,821.2653811128718
51,161,2041.774489879608,-0.0333333333333333,212.0,884.442373378335
52,164,2043.281229257584,-0.2333333333333332,242.0,717.885685409309
53,167,2025.6778018474577,-0.0933333333333333,216.0,819.3318157818347
54,170,2042.109412431717,-0.1733333333333332,234.0,796.4158486550909
55,173,2041.922174453736,-0.1799999999999999,234.0,797.0270284376363
56,176,2124.3321352005005,-0.1933333333333333,230.0,746.8968333981286
57,179,2074.7971749305725,-0.0733333333333333,220.0,825.7429005288054
58,182,2129.028969764709,0.0133333333333333,212.0,803.8859808351632
59,185,2100.6402094364166,0.0399999999999999,206.0,708.907609649723
60,188,2087.048600435257,-0.03999999999999999,214.0,706.6423592364954
