generation,num_eval,time,evaluation,size,active_node
0,11,280.8735463619232,9.309123992919922,4059242,5
1,14,4069.74769282341,9.309123992919922,4059242,5
2,17,3941.5049755573273,9.309123992919922,4059242,5
3,20,2829.4192955493927,9.309123992919922,4059242,5
4,23,2865.1921169757843,9.309123992919922,4059242,5
5,26,3011.235526800156,9.309123992919922,4059242,5
6,29,3054.057435274124,9.309123992919922,4059242,5
7,32,2982.1751618385315,9.309123992919922,4059242,5
8,35,2941.0090658664703,9.309123992919922,4059242,5
9,38,3098.027540206909,9.309123992919922,4059242,5
10,41,3923.8966369628906,9.309123992919922,4059242,5
11,44,2867.758637428284,9.309123992919922,4059242,5
12,47,3504.348792076111,9.309123992919922,4059242,5
13,50,2800.736272096634,9.309123992919922,4059242,5
14,53,3123.415648460388,9.309123992919922,4059242,5
15,56,3024.007944107056,9.309123992919922,4059242,5
16,59,2921.4691569805145,9.309123992919922,4059242,5
17,62,3001.392270088196,9.309123992919922,4059242,5
18,65,2912.054158687592,9.309123992919922,4059242,5
19,68,2804.429902791977,9.309123992919922,4059242,5
20,71,3256.063169002533,9.309123992919922,4059242,5
21,74,2950.0954513549805,9.309123992919922,4059242,5
22,77,3285.6716754436493,9.309123992919922,4059242,5
23,80,2841.631462574005,9.309123992919922,4059242,5
24,83,4002.173196077347,9.309123992919922,4059242,5
25,86,3117.6923830509186,9.309123992919922,4059242,5
26,89,3320.5167577266693,9.309123992919922,4059242,5
27,92,2828.3043842315674,9.309123992919922,4059242,5
28,95,3021.119188070297,9.309123992919922,4059242,5
29,98,2778.764734983444,9.309123992919922,4059242,5
30,101,2836.8322253227234,9.309123992919922,4059242,5
31,104,2784.325609922409,9.309123992919922,4059242,5
32,107,3120.57967877388,9.309123992919922,4059242,5
33,110,2990.17374420166,9.309123992919922,4059242,5
34,113,2893.136815547943,9.309123992919922,4059242,5
35,116,2856.109742879868,9.309123992919922,4059242,5
36,119,2814.0354256629944,9.309123992919922,4059242,5
37,122,2820.4378213882446,9.309123992919922,4059242,5
38,125,2859.045847892761,9.309123992919922,4059242,5
39,128,2929.338920354843,9.309123992919922,4059242,5
40,131,2974.200874567032,9.309123992919922,4059242,5
41,134,2921.598615407944,9.309123992919922,4059242,5
42,137,2868.544864654541,9.309123992919922,4059242,5
43,140,2816.416612625122,9.309123992919922,4059242,5
44,143,2792.5247230529785,9.309123992919922,4059242,5
45,146,3105.771191120148,9.309123992919922,4059242,5
46,149,3208.663900375366,9.309123992919922,4059242,5
47,152,2990.6541752815247,9.309123992919922,4059242,5
48,155,2776.1153831481934,9.309123992919922,4059242,5
49,158,2790.867629766464,9.309123992919922,4059242,5
50,161,2802.5598957538605,9.309123992919922,4059242,5
51,164,2788.888890504837,9.309123992919922,4059242,5
52,167,2790.96688747406,9.309123992919922,4059242,5
53,170,2739.5811047554016,9.309123992919922,4059242,5
54,173,2746.763477087021,9.309123992919922,4059242,5
55,176,2745.3436665534973,9.309123992919922,4059242,5
56,179,2755.740378856659,9.309123992919922,4059242,5
57,182,2759.517344713211,9.309123992919922,4059242,5
58,185,2776.6577615737915,9.309123992919922,4059242,5
59,188,2822.602819919586,9.309123992919922,4059242,5
60,191,2789.5134539604187,9.309123992919922,4059242,5
