generation,num_eval,time,evaluation,size,active_node
0,6,638.7919881343842,14.38124579191208,7096906,8
1,9,3242.1096210479736,14.38124579191208,7096906,8
2,12,3626.705525875092,14.38124579191208,7096906,8
3,15,2985.6727657318115,10.165197640657423,1052746,8
4,18,4364.211123228073,10.165197640657423,1052746,8
5,21,3631.380531787872,9.907395601272585,4744725,6
6,24,3311.1212651729584,9.907395601272585,4744725,6
7,27,3002.1177711486816,9.907395601272585,4744725,6
8,30,3836.899549722672,9.907395601272585,4744725,6
9,33,3697.617672681809,9.907395601272585,4744725,6
10,36,4220.752316236496,9.907395601272585,4744725,6
11,39,2912.408284664154,9.907395601272585,4744725,6
12,42,4134.821682214737,9.907395601272585,4744725,6
13,45,3800.607691049576,9.907395601272585,4744725,6
14,48,4691.876529932022,9.907395601272585,4744725,6
15,51,3864.194109916687,9.907395601272585,4744725,6
16,54,3490.5284326076508,9.907395601272585,4744725,6
17,57,3683.593153953552,9.907395601272585,4744725,6
18,60,3890.985856056213,9.907395601272585,4744725,6
19,63,4440.416146039963,9.907395601272585,4744725,6
20,66,3888.9057273864746,9.907395601272585,4744725,6
21,69,2663.578452587128,9.907395601272585,4744725,6
22,72,3077.3773453235626,9.907395601272585,4744725,6
23,75,2809.3865411281586,9.907395601272585,4744725,6
24,78,3299.1981167793274,9.907395601272585,4744725,6
25,81,3197.856048822403,9.907395601272585,4744725,6
26,84,2987.718533039093,9.907395601272585,4744725,6
27,87,3472.5265877246857,9.907395601272585,4744725,6
28,90,3589.9890246391296,9.907395601272585,4744725,6
29,93,2703.45797085762,9.907395601272585,4744725,6
30,96,2812.6390447616577,9.907395601272585,4744725,6
31,99,3796.4316000938416,9.907395601272585,4744725,6
32,102,3597.051359653473,9.907395601272585,4744725,6
33,105,2959.9208505153656,9.907395601272585,4744725,6
34,108,4380.666121006012,9.907395601272585,4744725,6
35,111,4731.001237630844,9.907395601272585,4744725,6
36,114,3339.273150205612,9.907395601272585,4744725,6
37,117,2824.022468805313,9.907395601272585,4744725,6
38,120,3711.083777666092,9.907395601272585,4744725,6
39,123,3025.530454397201,9.907395601272585,4744725,6
40,126,4247.030611515045,9.907395601272585,4744725,6
41,129,3704.91188287735,9.907395601272585,4744725,6
42,132,3572.1589772701263,9.907395601272585,4744725,6
43,135,3109.1466031074524,9.907395601272585,4744725,6
44,138,5114.656407356262,9.907395601272585,4744725,6
45,141,3879.874885082245,9.907395601272585,4744725,6
46,144,3661.3045587539673,9.907395601272585,4744725,6
47,147,3766.325278759002,9.907395601272585,4744725,6
48,150,3558.614668369293,9.907395601272585,4744725,6
49,153,3803.5609481334686,9.907395601272585,4744725,6
50,156,4410.406145811081,9.907395601272585,4744725,6
51,159,4005.8571557998657,9.907395601272585,4744725,6
52,162,3827.207261323929,9.907395601272585,4744725,6
53,165,3346.1919391155243,9.907395601272585,4744725,6
54,168,3545.015879392624,9.907395601272585,4744725,6
55,171,3085.771416902542,9.907395601272585,4744725,6
56,174,4692.237972021103,9.907395601272585,4744725,6
57,177,4671.890625953674,9.907395601272585,4744725,6
58,180,5035.625086069107,9.907395601272585,4744725,6
59,183,4240.874943733215,9.907395601272585,4744725,6
60,186,3515.5781812667847,9.907395601272583,4744725,6
