generation,num_eval,time,f_sur,f_IC,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,11,1.955174684524536,13.840184780866238,0.5646829935574778,0.6326748132705688,0.1958548724651336,0.1004002913832664,0.1807460635900497,0.0297854412347078,0.1083528250455856,0.4233077764511108,-0.1063307151198387,-0.0217306222766637,0.0203108806163072
1,11,1.955174684524536,12.584653765138292,0.6396349915648863,0.2467892467975616,0.2884656488895416,-0.2556575238704681,-0.1482697129249572,0.1778872162103653,0.3177712857723236,0.3092999458312988,-0.2600262463092804,-0.113781489431858,-0.2318282574415207
1,11,1.955174684524536,15.52224917845971,0.3948874772215888,0.0408550910651683,0.0331459939479827,-0.1091685816645622,-0.2724325358867645,0.1202408373355865,0.3884102702140808,0.6542369723320007,-0.2308807671070099,-0.2363588511943817,-0.056906197220087
1,11,1.955174684524536,16.57388883638013,0.1760388473329419,0.4055707454681396,0.2526561021804809,-0.3623340725898742,0.4127491414546966,-0.0866265445947647,0.065001755952835,0.5839952230453491,0.1283516436815261,-0.1487945914268493,-0.3637916147708893
1,11,1.955174684524536,16.619021650428756,0.2919550241213343,0.0113302264362573,0.2082427144050598,-0.0485214665532112,-0.0866589099168777,0.1769139915704727,0.419876217842102,0.4430838525295257,0.1367582529783249,0.0158259123563766,-0.0328805856406688
1,11,1.955174684524536,17.23489882105048,0.2413164891758198,0.2160039842128753,0.646159291267395,-0.1308786422014236,-0.08745077252388,0.5020840167999268,0.0873113647103309,0.3924030363559723,0.1692668199539184,0.1412397772073745,-0.1752289980649948
1,11,1.955174684524536,13.475616870430471,0.5943303247893967,0.1490329205989837,0.1387098580598831,-0.3307484090328216,0.0045427926816046,-0.0222520790994167,0.3765128254890442,0.4426851570606231,-0.0730458796024322,0.0474688038229942,-0.0442893877625465
1,11,1.955174684524536,13.129403605940588,0.6347628664027427,0.2430073469877243,0.1560021340847015,-0.1531994491815567,-0.0785909816622734,-0.0474104173481464,0.5178614854812622,0.1530965566635131,-0.1826428771018982,-0.1153327450156211,-0.0462555922567844
1,11,1.955174684524536,17.873005956118437,0.2106654096357209,0.3368771374225616,0.4353334605693817,-0.1545529067516327,-0.3073782622814178,0.0982855185866355,0.0184859056025743,0.5299448370933533,-0.4824954867362976,-0.2811508774757385,0.0881059542298317
1,11,1.955174684524536,18.95729554044836,0.066880491862809,0.1168321669101715,0.3703845739364624,-0.3934932053089142,-0.3017633557319641,-0.3272749781608581,0.245120421051979,0.6143948435783386,-0.040688831359148,0.0435037016868591,-0.6487597227096558
2,14,1.8529493808746336,18.30836116058264,0.0819162579478932,0.065989539027214,0.3817959427833557,-0.2490401864051818,0.3172384798526764,0.3459286391735077,0.1666695326566696,0.2626234292984009,-0.0874104499816894,-0.2500770688056946,-0.3557388186454773
2,14,1.8529493808746336,14.550809367490334,0.4237503486665571,0.1649342328310012,0.5397199988365173,-0.0317549221217632,-0.0450349412858486,0.1659262478351593,0.1688877344131469,0.2688741385936737,0.0297125093638896,0.1445216387510299,-0.4623885154724121
2,14,1.8529493808746336,18.287014922252453,0.1494139607894415,0.5843242406845093,0.8766534924507141,-0.2036035060882568,-0.3756706118583679,-0.5099006295204163,0.1656391620635986,0.204183280467987,0.2771332263946533,0.3854874074459076,-0.8077561855316162
2,14,1.8529493808746336,16.441362361582005,0.2587359190061559,0.4313124716281891,0.1171720474958419,0.1663936078548431,0.2249761968851089,0.2629147171974182,0.0369913876056671,0.6709789633750916,-0.055644117295742,0.0944711938500404,-0.6273508071899414
2,14,1.8529493808746336,16.84571142009361,0.2188049297131987,0.1987637877464294,0.2471056431531906,0.0137775726616382,0.4121623635292053,0.3407894372940063,0.0677656680345535,0.2289135903120041,-0.376529186964035,0.1924767047166824,-0.5416792035102844
2,14,1.8529493808746336,19.37099519310556,0.0104359897022696,0.2366156876087188,0.4249695539474487,-0.2140319049358368,0.1408651918172836,0.2042567431926727,0.1282590627670288,0.2555273473262787,-0.2036260664463043,-0.2442420423030853,-0.1956389844417572
2,14,1.8529493808746336,20.29658450827166,0.0284239081286876,0.5891245007514954,0.3605198860168457,0.0803250670433044,0.212550014257431,0.2323912233114242,0.1158161759376525,0.287374198436737,0.0154841542243957,-0.3047809302806854,-0.2576507329940796
2,14,1.8529493808746336,11.559522002207036,0.5217288370898547,0.3028054535388946,0.3633777797222137,0.2165845334529876,0.2750990688800812,0.1568679511547088,0.1254707872867584,0.2493901848793029,0.0089942989870905,0.1096714809536933,-0.0797099098563194
2,14,1.8529493808746336,17.948389123141105,0.1313260055863429,0.0314995869994163,0.2040606886148452,0.3464635014533996,0.5930595397949219,-0.1248464286327362,0.2194759249687194,0.1927133500576019,0.0300821121782064,-0.1758044511079788,-0.4186554551124573
