generation,num_eval,time,kendalltau,rank_dif,rmse
1,11,1921.577906370163,0.1133333333333333,200.0,46.578934385000274
2,14,1910.4063277244568,0.0133333333333333,216.0,46.39837475330433
3,17,1928.4848713874817,0.0733333333333333,204.0,46.35913767963433
4,20,1918.1699633598328,0.0866666666666666,212.0,46.41500401700945
5,23,1953.111579656601,,156.0,44.95104531330214
6,26,1935.3905749320984,,156.0,45.22015494780317
7,29,1949.3747050762177,,156.0,45.30846053954757
8,32,1940.1395087242129,,156.0,45.44472153576676
9,35,1975.7597234249115,-0.1459600898399523,192.0,45.43167054045816
10,38,1959.437301158905,-0.0471404520791031,169.0,45.10161848339493
11,41,1953.980958223343,-0.0471404520791031,169.0,45.29910962360576
12,44,1942.601424217224,,156.0,45.348001321998936
13,47,1950.874843120575,,156.0,45.37329960552683
14,50,1937.0002245903013,0.1598610507770906,164.0,44.32854795131312
15,53,1881.5317475795744,0.1598610507770906,164.0,44.13134897806943
16,56,1855.5527811050413,0.1598610507770906,164.0,42.94884640693482
17,59,1852.115115642548,0.1598610507770906,164.0,42.99898020904902
18,62,1856.7670423984528,0.1460593486680443,172.0,43.11757456081329
19,65,2259.7342822551727,0.1460593486680443,172.0,43.18564399933007
20,68,3093.0937206745148,0.1460593486680443,172.0,43.23019044297761
21,71,3090.5157837867737,0.1460593486680443,172.0,43.31213560803245
22,74,3160.124924182892,0.0880771012101088,183.0,43.4299293244765
23,77,3151.4686794281006,0.0880771012101088,183.0,43.42931115598078
24,80,3141.8285257816315,0.0990867388613724,181.0,43.44410494037884
25,83,3146.140372991562,0.0990867388613724,181.0,43.54367270176268
26,86,3059.671805620193,0.1211060141638996,179.0,43.18537385581626
27,89,2830.750453710556,0.1211060141638996,179.0,43.1495024977934
28,92,2808.7816877365112,0.1211060141638996,179.0,43.2196637420511
29,95,2927.7030107975006,0.2847607143234434,164.0,43.4028993276884
30,98,2855.780940771103,0.2780604622217153,162.0,43.217796621842886
31,101,2946.3280413150787,0.2713602101199872,162.0,43.23553191012133
32,104,2874.2187085151672,0.2780604622217153,162.0,43.26703491953991
33,107,2858.606887817383,0.2780604622217153,162.0,43.22725814021678
34,110,2949.93794631958,0.2838067394000255,162.0,43.229588207792936
35,113,2883.717902421952,,156.0,42.84577569171379
36,116,2750.1098692417145,0.2222335598014863,175.0,43.08405761507315
37,119,2678.5621857643127,,156.0,42.78980446429416
38,122,2692.9843769073486,0.2373222262672836,172.0,43.06914205445421
39,125,2681.078138113022,,156.0,42.85306144686711
40,128,2717.327798843384,,156.0,42.87847426847798
41,131,2718.546965360641,0.2154992095044716,175.0,42.97763170290753
42,134,2688.7817640304565,0.1211060141638996,179.0,42.91939825999659
43,137,2765.8905766010284,0.110096376512636,179.0,42.95797010673484
44,140,2654.3284969329834,0.110096376512636,179.0,42.99860858400713
45,143,2681.733951807022,0.110096376512636,179.0,43.04337706394293
46,146,2731.656295776367,0.1211060141638996,179.0,43.09196314968471
47,149,2636.71719288826,0.110096376512636,179.0,43.115420126677705
48,152,2181.7430839538574,0.110096376512636,179.0,43.12608902066195
49,155,1972.548701286316,0.1211060141638996,177.0,43.145716473919535
50,158,1991.8321194648745,0.1211060141638996,177.0,43.16363731654241
51,161,1943.611215353012,0.1211060141638996,177.0,43.16412648161571
52,164,1923.9879891872408,0.194745798224059,166.0,43.1464635188292
53,167,1944.6761274337769,0.1321156518151632,177.0,43.18728230147606
54,170,1949.2691876888275,0.194745798224059,166.0,43.22791705316885
55,173,1956.9837491512296,0.194745798224059,166.0,43.26965126146735
56,176,1957.281272172928,0.194745798224059,166.0,43.29403815247463
57,179,1978.6715650558472,0.194745798224059,166.0,43.33281793280364
58,182,1949.1396715641024,0.194745798224059,166.0,43.3191081551171
59,185,1993.014486074448,0.1582309610570479,168.0,43.35751849421517
60,188,1976.6799173355103,0.15823096105704795,168.0,43.38953671583847
