eval,obj,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
11,14.174869060516356,0.60261494,0.24021956,1.3271312,-0.004246047,0.44122896,-0.12934513,0.4776023,0.07838417,-0.44387364,0.16341531
11,16.006399154663086,0.30480844,0.44761714,0.01304451,0.6495092,0.038062595,-0.52513945,0.26455113,-0.1639327,-0.020217337,0.100785404
11,18.969892382621765,-0.18358554,-0.60612386,-0.0044906978,0.82652074,-0.15643153,0.28629065,-0.09805607,0.3317704,-0.8900322,0.27996275
11,21.57728719711304,-0.04642052,0.19275457,0.070795104,0.2899295,0.12902999,-0.08378869,0.6450831,0.6044975,-0.37018344,-0.12685776
11,23.16535520553589,0.07840532,0.7083027,-0.60767287,0.63729817,-0.32747346,-0.5778575,0.41365868,-0.37938184,0.054504734,0.6226198
11,23.235787749290463,0.10066833,-0.40183994,-0.1105181,0.13279569,-0.6569227,-0.2385924,0.45838445,-0.067161486,-0.27758497,-0.21872745
11,23.86964452266693,-0.24033995,-0.38143784,-0.643357,0.15792364,0.22914249,0.4421087,0.57581687,-0.026831307,-0.9896245,-1.3147769
11,24.02848303318024,-0.49099728,-0.2212559,-0.37996632,0.7021309,0.23787913,0.42631835,0.29654357,-0.44500074,0.0009343918,0.48531684
11,37.1661536693573,1.007116,0.4159859,0.9318414,-0.19881055,-0.16151981,0.03182146,0.32043734,-0.009368157,-0.37096208,0.39925668
11,45.34757423400879,-0.34295565,0.42368528,-0.0813043,0.387859,0.2406402,0.11469132,0.46228448,-0.52792495,-0.37611446,0.8174371
11,48.77059292793274,0.028579887,0.8082969,0.31920898,0.5347633,0.642479,0.31559142,0.36183771,0.30796894,-0.18682575,-0.81102926
14,14.174869060516356,0.6026149392127991,0.2402195632457733,1.3271311521530151,-0.0042460472323,0.4412289559841156,-0.1293451339006424,0.4776023030281067,0.078384168446064,-0.443873643875122,0.1634153127670288
14,16.006399154663086,0.3048084378242492,0.4476171433925628,0.0130445100367069,0.6495091915130615,0.0380625948309898,-0.5251394510269165,0.2645511329174042,-0.1639326959848404,-0.0202173367142677,0.1007854044437408
14,18.49427980184555,0.1136235371232032,0.4612585008144378,1.2159874439239502,0.6512309312820435,0.2524460852146148,-0.6022973656654358,0.1628986895084381,-0.7214679718017578,-0.2714631557464599,-1.4876583814620972
14,18.969892382621765,-0.1835855394601822,-0.6061238646507263,-0.0044906977564096,0.8265207409858704,-0.1564315259456634,0.2862906455993652,-0.0980560705065727,0.3317703902721405,-0.890032172203064,0.2799627482891083
14,19.327831864356995,0.140794351696968,0.3968887329101562,1.302673578262329,0.7203721404075623,0.4328490793704986,-0.8381475210189819,0.2168647944927215,-0.6387687921524048,-0.392165333032608,-1.589159369468689
14,21.57728719711304,-0.0464205183088779,0.1927545666694641,0.0707951039075851,0.2899295091629028,0.1290299892425537,-0.0837886929512023,0.6450831294059753,0.604497492313385,-0.3701834380626678,-0.1268577575683593
14,23.16535520553589,0.0784053206443786,0.7083026766777039,-0.6076728701591492,0.6372981667518616,-0.3274734616279602,-0.577857494354248,0.4136586785316467,-0.3793818354606628,0.0545047335326671,0.6226198077201843
14,23.235787749290463,0.1006683334708213,-0.401839941740036,-0.1105180978775024,0.1327956914901733,-0.6569226980209351,-0.2385924011468887,0.4583844542503357,-0.0671614855527877,-0.277584969997406,-0.2187274545431137
14,23.86964452266693,-0.2403399497270584,-0.3814378380775451,-0.64335697889328,0.1579236388206482,0.2291424870491027,0.442108690738678,0.5758168697357178,-0.0268313065171241,-0.9896245002746582,-1.31477689743042
14,24.02848303318024,-0.4909972846508026,-0.2212558984756469,-0.3799663186073303,0.702130913734436,0.2378791272640228,0.426318347454071,0.2965435683727264,-0.4450007379055023,0.0009343918063677,0.4853168427944183
14,37.1661536693573,1.0071159601211548,0.4159859120845794,0.9318413734436036,-0.1988105475902557,-0.1615198105573654,0.031821459531784,0.320437341928482,-0.0093681570142507,-0.3709620833396911,0.3992566764354706
14,45.34757423400879,-0.3429556488990783,0.4236852824687958,-0.0813042968511581,0.3878589868545532,0.2406401932239532,0.1146913170814514,0.4622844755649566,-0.5279249548912048,-0.3761144578456878,0.8174371123313904
14,48.77059292793274,0.0285798870027065,0.8082969188690186,0.3192089796066284,0.5347632765769958,0.6424790024757385,0.315591424703598,0.3618377149105072,0.3079689443111419,-0.1868257522583007,-0.8110292553901672
14,59.35230565071106,-0.0037017457652837,0.3397461175918579,1.3082866668701172,0.6032786965370178,0.2773121297359466,-0.3874363303184509,0.1193624436855316,-0.7880151271820068,-0.2612067759037018,-1.5163403749465942
