generation,num_eval,time,kendalltau,rank_dif,rmse
1,11,1986.906100511551,-0.0399999999999999,214.0,43.78655148559787
2,14,1949.68777012825,-0.0199999999999999,220.0,43.215250115017135
3,17,1976.9683847427368,0.0733333333333333,198.0,43.487467518410085
4,20,1950.368627548217,-0.0360667853866972,200.0,41.40826308045703
5,23,1943.6096076965327,,156.0,41.19613505895923
6,26,1951.735675096512,-0.2570955168682584,244.0,41.38960458886102
7,29,1963.7414228916168,-0.0625543242171224,177.0,41.459060223444986
8,32,1987.8126935958865,-0.1082003561600918,220.0,41.607743232896745
9,35,1949.147291898728,,156.0,41.67960645156187
10,38,1974.8151516914368,,156.0,41.81312117828203
11,41,1979.5004606246948,0.1695141372719182,188.0,41.785918360070376
12,44,1998.3552029132843,-0.1140646864203467,226.0,41.84889865998942
13,47,1977.9018964767456,,156.0,41.3318725992563
14,50,1968.844056129456,,156.0,41.42349179319563
15,53,1989.923576116562,,156.0,41.48435928119928
16,56,1919.828593969345,,156.0,41.57485661642946
17,59,1894.067885637284,,156.0,41.659661938657685
18,62,1894.787062168121,0.1885618083164126,152.0,41.38816009102452
19,65,1896.173475980759,0.1885618083164126,152.0,41.46306969720143
20,68,2250.5941593647003,0.1885618083164126,152.0,41.534573729392406
21,71,3176.8539032936096,0.1885618083164126,152.0,41.6050830875299
22,74,3188.626630783081,,156.0,41.44644869761604
23,77,3175.109174489975,,156.0,41.50055919182912
24,80,3221.4528851509094,,156.0,41.580878239856766
25,83,3196.9686505794525,,156.0,41.6328949765644
26,86,3195.437529325485,,156.0,41.70723806161904
27,89,3004.39061999321,,156.0,41.652541343335606
28,92,2859.4911482334137,,156.0,41.72794075232952
29,95,2848.312622308731,,156.0,41.73788225424868
30,98,2948.765692472458,,156.0,41.79815814902624
31,101,2914.687875032425,,156.0,41.883816237238925
32,104,3004.9532787799835,,156.0,41.43666095622437
33,107,2890.359283924103,,156.0,41.44736302910626
34,110,2954.281474351883,,156.0,41.49185144559937
35,113,2904.421442747116,,156.0,41.531334912474975
36,116,2899.062392950058,,156.0,41.57464076918301
37,119,2722.35383272171,,156.0,41.61447850679337
38,122,2752.531441926956,,156.0,41.65894681755908
39,125,2726.8276658058167,,156.0,41.70787814345793
40,128,2780.921896457672,,156.0,41.73385814337408
41,131,2753.781556367874,,156.0,41.65222843226452
42,134,2761.8591635227203,,156.0,41.71297972866266
43,137,2878.8125426769257,,156.0,41.51443557338434
44,140,2750.1875569820404,,156.0,41.547408108645655
45,143,2721.8286139965057,,156.0,41.26845469000309
46,146,2815.2656552791595,,156.0,41.01914366038654
47,149,2687.4689610004425,,156.0,41.00499106961716
48,152,2295.7537310123444,,156.0,41.03539639123948
49,155,2000.3607647418976,,156.0,41.056407854016186
50,158,2027.1908316612244,,156.0,41.0654980143654
51,161,2011.906667470932,0.1843908891458577,169.0,40.82988430336743
52,164,1969.8278939723969,0.1843908891458577,169.0,40.835297923269735
53,167,1996.748428106308,0.1843908891458577,169.0,40.83082615440555
54,170,1999.207073688507,0.1586078894161132,172.0,40.82749850498541
55,173,2012.2032153606413,0.1554668281033702,177.0,40.82659134662567
56,176,1990.034083366394,0.1554668281033702,177.0,40.82723718585921
57,179,2031.5079264640808,-0.0710669054518701,190.0,40.83310557163921
58,182,1979.706208705902,0.0235702260395515,166.0,40.83375666851285
59,185,2070.099132299423,-0.0560112033611203,215.0,40.82721837063235
60,188,2124.5363068580627,-0.056011203361120386,215.0,40.828087502523104
