generation,num_eval,time,kendalltau,rank_dif,rmse
1,6,2023.1280195713043,,156.0,12.726912977104906
2,9,1965.7499732971191,0.0466666666666666,218.0,13.984625703641658
3,12,1986.4533014297483,-0.0266666666666666,222.0,14.031441243183547
4,15,1974.8411746025083,-0.1666666666666666,238.0,12.853922280679305
5,18,1994.766010284424,-0.1799999999999999,246.0,13.41289710546024
6,21,2020.7538981437683,0.0199999999999999,210.0,14.804478618111569
7,24,2008.60533285141,-0.0199999999999999,216.0,13.820654562071637
8,27,1967.7341177463527,-0.0066666666666666,218.0,13.2124441917566
9,30,1999.0471329689024,0.0301511344577763,202.0,30.0984438556644
10,33,2023.48435497284,0.0301511344577763,200.0,30.124938368521995
11,36,1997.160417318344,0.0234508823560482,200.0,29.975345455483843
12,39,2027.229426860809,-0.2199999999999999,262.0,12.33644233968468
13,42,1980.1353006362915,-0.2199999999999999,252.0,12.41648062587538
14,45,1995.4980478286743,-0.1799999999999999,246.0,12.308713680979473
15,48,1997.2191233634949,-0.1548900568313389,253.0,11.943054033010448
16,51,2007.9063320159912,-0.0166945140823544,213.0,13.748928816320694
17,54,2022.40665602684,-0.0100167084494126,213.0,13.204002668842968
18,57,1989.390919685364,0.0,212.0,14.956515644835248
19,60,2004.9188137054443,0.0100167084494126,213.0,14.389021093226324
20,63,2008.8019540309904,0.0233723197152962,213.0,14.362261437916676
21,66,2007.656313180924,0.0166945140823544,205.0,14.262481352167146
22,69,2008.3908054828644,0.0434057366141215,199.0,14.313611822155863
23,72,2001.5316190719604,0.030050125348238,205.0,13.73934630965802
24,75,2000.8786101341248,0.030050125348238,205.0,13.69992706796578
25,78,2033.7341845035555,0.0233723197152962,205.0,13.682013740057538
26,81,2013.90858244896,0.0233723197152962,205.0,13.524239755203142
27,84,2014.723839044571,0.0100503781525921,218.0,12.7224216271362
28,87,1993.9686226844788,0.1239546638819694,194.0,12.330242983265205
29,90,2038.52197599411,-0.0067806350362081,218.0,11.945431932208812
30,93,2017.720276594162,0.0942809041582063,210.0,11.98010804728258
31,96,2042.8195378780365,0.0875465538611915,212.0,11.95194569179256
32,99,2038.491431713104,0.0067343502970147,229.0,12.052328095470957
33,102,2048.204453229904,0.0269374011880589,227.0,12.053771063808124
34,105,2072.0781903266907,0.0703526470681448,226.0,12.077890065548743
35,108,2107.406275987625,0.090453403373329,222.0,12.02651611091063
36,111,2112.5434663295746,0.0971536554750571,214.0,12.041655816106651
37,114,2118.000060081482,0.0234508823560482,224.0,12.17004726674814
38,117,2114.658640384674,0.0569521428646886,214.0,12.231013744767814
39,120,2129.249813556671,0.0606091526731326,213.0,12.196466475724034
40,123,2126.937442302704,0.0569521428646886,212.0,12.169737452615069
41,126,2131.044046640396,0.0971536554750571,200.0,12.144367053167192
42,129,2109.802614212036,0.0971536554750571,200.0,12.134768840291729
43,132,2127.406492471695,-0.1969952661717824,261.0,12.065515948729844
44,135,2121.5444922447205,-0.210350877437666,261.0,12.033868810987666
45,138,2109.8593447208405,-0.210350877437666,261.0,12.044560175478146
46,141,2129.229027032852,-0.2170286830706077,261.0,12.007291087632137
47,144,2114.0923652648926,-0.2237064887035495,257.0,12.040390022479317
48,147,2123.097482442856,-0.1017095255431215,224.0,12.15822533789383
49,150,2126.361189842224,-0.0542450802896648,214.0,12.14054845489017
50,153,2146.4529359340668,-0.0542450802896648,216.0,12.10698030800216
51,156,2169.690596342087,-0.0542450802896648,216.0,12.08277576412682
52,159,2171.38379406929,-0.0881482554707053,242.0,12.088325071250484
53,162,2160.671837091446,-0.0474644452534567,234.0,12.069099513202117
54,165,2184.9540481567383,-0.0542450802896648,236.0,12.05830741089274
55,168,2133.4079117774963,-0.0542450802896648,236.0,12.0326241268681
56,171,2166.9087176322937,-0.0606091526731326,233.0,12.004031168783056
57,174,2127.9842092990875,-0.0971536554750571,240.0,11.992556309178712
58,177,2165.250048398972,-0.0971536554750571,240.0,12.010591995435895
59,180,2256.503702640533,-0.0971536554750571,240.0,12.018831785962051
60,183,2255.003630876541,-0.09428090415820632,239.0,12.032194121485462
