generation,num_eval,time,kendalltau,rank_dif,rmse
1,6,1999.4667041301727,0.1066666666666666,188.0,19.27780702730089
2,9,2002.2391378879547,0.1733333333333332,174.0,17.429099799025664
3,12,2058.3586189746857,0.2999999999999999,156.0,18.163876750704205
4,15,1986.961628198624,-0.1399999999999999,234.0,30.61071923056219
5,18,1994.3353826999664,-0.2066666666666666,228.0,29.001984393225143
6,21,1970.4219377040863,-0.1599999999999999,242.0,42.54203945895649
7,24,1940.015798807144,-0.1199999999999999,226.0,29.863194747862963
8,27,1957.6268572807312,-0.1133333333333333,222.0,28.498142088856103
9,30,1979.031627893448,-0.1733333333333332,230.0,29.68975317290157
10,33,2000.0311105251312,-0.1799999999999999,234.0,27.129569537460284
11,36,1959.802557945252,-0.2266666666666666,252.0,25.629931978403985
12,39,1989.437688112259,0.0199999999999999,198.0,28.498679022823858
13,42,1975.1537420749664,-0.0799999999999999,214.0,27.859803587670893
14,45,1979.8754014968872,-0.2333333333333332,240.0,26.62742817546976
15,48,2013.1575815677645,-0.2266666666666666,240.0,27.987500642574265
16,51,1983.5686604976647,0.0266666666666666,200.0,57.56962070801196
17,54,1967.5009679794312,0.0266666666666666,212.0,52.76739219774696
18,57,1979.6406333446505,-0.0666666666666666,244.0,51.88642206067723
19,60,1988.90606546402,-0.0466666666666666,222.0,39.26266970682985
20,63,2001.0623757839203,-0.0266666666666666,220.0,40.74911567029693
21,66,2001.5017566680908,0.0333333333333333,210.0,48.43959080195497
22,69,1970.671799898148,0.0,212.0,41.24563174934745
23,72,2009.2811307907104,-0.0066666666666666,212.0,40.38701785807482
24,75,2006.885941267013,-0.1199999999999999,228.0,42.81817642321142
25,78,2011.371174812317,-0.1133333333333333,226.0,43.85011022457166
26,81,2009.031278371811,-0.0866666666666666,222.0,41.81096396355962
27,84,2021.437482595444,-0.1466666666666666,238.0,53.65844151395835
28,87,2003.6074485778809,-0.0599999999999999,206.0,54.0921037937194
29,90,2012.0181539058683,-0.0066666666666666,204.0,58.90649514046314
30,93,2009.3417410850525,-0.0333333333333333,208.0,56.97825494723244
31,96,1972.156274318695,-0.0999999999999999,228.0,49.14641135187989
32,99,2009.87512421608,-0.0866666666666666,226.0,55.55355018267124
33,102,2023.281380653381,-0.0999999999999999,226.0,56.155275967606336
34,105,2050.3731429576874,-0.0799999999999999,224.0,55.195050110472174
35,108,2053.4632053375244,-0.0333333333333333,204.0,54.501925046704415
36,111,2125.5793652534485,-0.1333333333333333,236.0,52.77417009939082
37,114,2071.298840999604,-0.1399999999999999,238.0,50.10325823327564
38,117,2124.15651345253,-0.1399999999999999,242.0,49.91200421384888
39,120,2096.8929147720337,-0.1333333333333333,240.0,50.78998050653997
40,123,2098.499902009964,-0.1466666666666666,246.0,49.65276493693308
41,126,2082.860459089279,-0.1399999999999999,244.0,49.03322464705237
42,129,2140.897022485733,-0.0933333333333333,238.0,48.39299620043474
43,132,2106.109880208969,-0.0933333333333333,238.0,48.051082684626266
44,135,2124.723154067993,-0.0999999999999999,240.0,47.994480995737774
45,138,2100.093828201294,-0.0999999999999999,242.0,47.78909989890428
46,141,2135.890702724457,-0.0999999999999999,242.0,47.9512113003099
47,144,2094.934774398804,-0.0999999999999999,246.0,47.50228158155263
48,147,2135.4687435626984,-0.1266666666666666,246.0,46.98201877748728
49,150,2092.7068989276886,-0.0133333333333333,236.0,39.00997370454424
50,153,2123.7841086387634,-0.1199999999999999,248.0,42.95914127309207
51,156,2135.915914297104,-0.1399999999999999,248.0,42.075986380557815
52,159,2140.9087929725647,-0.1533333333333333,246.0,40.29746697112324
53,162,2083.155176639557,-0.1999999999999999,260.0,41.777374945891225
54,165,2186.9147222042084,0.0266666666666666,198.0,27.386885168087893
55,168,2104.178523540497,0.0266666666666666,198.0,27.517052385309828
56,171,2153.8008332252502,0.0866666666666666,190.0,26.8100044074777
57,174,2146.999906539917,0.0466666666666666,194.0,27.89634789930057
58,177,2165.3939180374146,0.0399999999999999,194.0,27.84671315241758
59,180,2136.722195148468,0.0399999999999999,206.0,29.983513324304425
60,183,2156.6523854732513,0.20666666666666664,170.0,27.481775759012464
