epoch,train_loss,train_acc,time
1,4556.350938677788,0.269388884305954,41.307090044021606
2,249.68953216075897,0.3991111218929291,33.63671350479126
3,230.04694724082947,0.4432222247123718,34.13663411140442
4,225.07385563850403,0.4532222151756286,34.66740441322327
5,211.8102182149887,0.480777770280838,34.638529777526855
6,229.7491489648819,0.4783333241939544,34.58620262145996
7,207.58205211162567,0.5006111264228821,34.657657861709595
8,202.43449544906616,0.5211111307144165,34.84268879890442
9,188.8865122795105,0.5440000295639038,34.91034126281738
10,190.74817794561383,0.5508888959884644,35.1538724899292
11,188.4745901226997,0.5618888735771179,35.36993479728699
12,182.37018013000488,0.5691111087799072,35.623563051223755
13,181.09082639217377,0.5730000138282776,35.728800535202026
14,180.61358147859573,0.5787222385406494,36.1275737285614
15,174.75869125127792,0.5913888812065125,36.1796624660492
16,172.9344715476036,0.6031666398048401,36.39013671875
17,165.85576683282852,0.6133888959884644,36.55535888671875
18,165.83459967374802,0.6156666874885559,36.75776791572571
19,161.74009209871292,0.6265000104904175,36.89683222770691
20,162.73231863975525,0.6233888864517212,37.1314799785614
21,163.67936027050018,0.6270555257797241,37.29868197441101
22,154.37471669912338,0.6441666483879089,37.44310998916626
23,155.5746597647667,0.6437777876853943,37.64929008483887
24,149.84338307380676,0.6549999713897705,37.97241759300232
25,146.22804540395737,0.6661666631698608,38.021156549453735
26,140.82955330610275,0.6735555529594421,38.22074770927429
27,142.62112498283386,0.6742777824401855,38.28722596168518
28,145.73399126529694,0.6705555319786072,38.50373148918152
29,140.1603285074234,0.6792222261428833,38.738011837005615
30,131.47800701856613,0.7008888721466064,38.8692581653595
1,237.02109134197235,0.3824999928474426,50.41833829879761
2,192.59069061279297,0.50855553150177,43.1453537940979
3,169.99077147245407,0.5691666603088379,43.392139196395874
4,155.94221425056458,0.6046110987663269,43.44865036010742
5,145.8843773007393,0.6318333148956299,43.60355854034424
6,138.33915144205093,0.6535000205039978,43.70244240760803
7,133.03836572170258,0.6650555729866028,43.886078119277954
8,128.113685131073,0.6826111078262329,43.9745237827301
9,123.41299736499786,0.6890555620193481,44.07083487510681
10,118.22652989625932,0.7014444470405579,44.3181049823761
11,115.31549501419067,0.7105555534362793,44.23530745506287
