generation,num_eval,time,evaluation,size,active_node
0,11,110.63864398002625,13.357041001319883,10656138,8
1,14,3846.6681303977966,13.357041001319883,10656138,8
2,17,3867.0406663417816,13.357041001319883,10656138,8
3,20,2912.7301182746887,13.357041001319883,10656138,8
4,23,3058.868868589401,13.357041001319883,10656138,8
5,26,4994.640034675598,13.357041001319883,10656138,8
6,29,3983.395439147949,13.357041001319883,10656138,8
7,32,3878.305304765701,13.357041001319883,10656138,8
8,35,2921.473329305649,13.357041001319883,10656138,8
9,38,3080.061202764511,13.357041001319883,10656138,8
10,41,3933.711800575256,13.357041001319883,10656138,8
11,44,3276.5523993968964,13.357041001319883,10656138,8
12,47,4515.7585916519165,13.357041001319883,10656138,8
13,50,3449.33984708786,13.357041001319883,10656138,8
14,53,4133.197334527969,13.357041001319883,10656138,8
15,56,2903.638691663742,13.357041001319883,10656138,8
16,59,3108.4765322208405,13.357041001319883,10656138,8
17,62,2904.7791464328766,13.357041001319883,10656138,8
18,65,3754.3214795589447,13.357041001319883,10656138,8
19,68,2864.681689739228,13.357041001319883,10656138,8
20,71,3099.0944831371307,13.357041001319883,10656138,8
21,74,3469.659810066223,13.357041001319883,10656138,8
22,77,3125.598084211349,13.357041001319883,10656138,8
23,80,4055.856467485428,13.357041001319883,10656138,8
24,83,3279.085687160492,13.357041001319883,10656138,8
25,86,2922.9268803596497,13.357041001319883,10656138,8
26,89,3100.417670488357,13.357041001319883,10656138,8
27,92,3589.926604986191,13.357041001319883,10656138,8
28,95,3129.1548738479614,13.357041001319883,10656138,8
29,98,2932.6729373931885,13.357041001319883,10656138,8
30,101,2950.075064182281,13.357041001319883,10656138,8
31,104,3100.8679895401,13.357041001319883,10656138,8
32,107,3316.374855518341,13.357041001319883,10656138,8
33,110,3311.83158493042,13.357041001319883,10656138,8
34,113,3315.809903860092,13.357041001319883,10656138,8
35,116,3512.769062280655,13.357041001319883,10656138,8
36,119,3617.6540575027466,13.357041001319883,10656138,8
37,122,3155.01450753212,13.357041001319883,10656138,8
38,125,3092.451921701432,13.357041001319883,10656138,8
39,128,2998.314463853836,13.357041001319883,10656138,8
40,131,3642.559583425522,13.357041001319883,10656138,8
41,134,3672.912145614624,13.357041001319883,10656138,8
42,137,3939.968738555908,13.357041001319883,10656138,8
43,140,3484.0488545894623,13.357041001319883,10656138,8
44,143,3924.115334510803,13.357041001319883,10656138,8
45,146,2899.583692550659,13.357041001319883,10656138,8
46,149,3281.1298739910126,13.357041001319883,10656138,8
47,152,3517.336477994919,13.357041001319883,10656138,8
48,155,3103.6528148651123,13.357041001319883,10656138,8
49,158,3667.125343799591,13.357041001319883,10656138,8
50,161,4007.554058790207,13.357041001319883,10656138,8
51,164,3109.203307628632,13.357041001319883,10656138,8
52,167,2930.876849412918,13.357041001319883,10656138,8
53,170,3492.35507440567,13.357041001319883,10656138,8
54,173,3695.110825061798,13.357041001319883,10656138,8
55,176,3589.8691227436066,13.357041001319883,10656138,8
56,179,2950.9146382808685,13.357041001319883,10656138,8
57,182,2930.4771308898926,13.357041001319883,10656138,8
58,185,3454.8197672367096,13.357041001319883,10656138,8
59,188,4221.763219833374,13.357041001319883,10656138,8
60,191,2842.0317373275757,13.357041001319885,10656138,8
