generation,num_eval,time,kendalltau,rank_dif,rmse
1,11,2001.4214010238647,0.0266666666666666,200.0,17.31716253261873
2,14,1942.203094959259,0.0799999999999999,188.0,24.25814955515
3,17,1985.796961069107,0.0999999999999999,190.0,28.87514881194133
4,20,1978.373550415039,-0.1133333333333333,232.0,22.41061004988599
5,23,1973.473932504654,-0.1199999999999999,228.0,21.61466332946336
6,26,1941.84414768219,-0.2666666666666666,246.0,22.04885484978936
7,29,1930.4848794937127,-0.0333333333333333,194.0,31.09123135777126
8,32,1929.6719043254848,0.0399999999999999,202.0,24.00657219704197
9,35,1962.1406500339508,-0.0799999999999999,218.0,24.06758520680592
10,38,1980.468958377838,-0.0666666666666666,212.0,23.923248605786828
11,41,1992.8175263404848,-0.0599999999999999,210.0,23.526935752576417
12,44,1996.0551943778992,-0.0999999999999999,214.0,24.60353883038827
13,47,1968.4847481250763,-0.1399999999999999,228.0,23.60372303748466
14,50,1998.8586297035213,-0.1533333333333333,226.0,23.90512727246945
15,53,1959.8367457389832,-0.1133333333333333,216.0,25.67614124431177
16,56,1982.07132935524,-0.1266666666666666,218.0,24.83192445006204
17,59,1962.5857043266296,-0.1266666666666666,218.0,25.65606443991266
18,62,1942.4216554164889,-0.1266666666666666,228.0,25.891428169358115
19,65,1954.625044345856,-0.1399999999999999,230.0,26.098456245286183
20,68,1944.2497763633728,-0.0599999999999999,216.0,22.120053619255792
21,71,1961.812071084976,-0.1533333333333333,232.0,25.02390429969378
22,74,1946.919912576676,-0.0866666666666666,222.0,22.179618468461403
23,77,2015.904439210892,-0.0666666666666666,232.0,17.787914771624088
24,80,1947.250012397766,-0.1466666666666666,234.0,24.643097942756352
25,83,1969.484406709671,-0.1799999999999999,238.0,24.432252964650875
26,86,1940.2340314388275,-0.4199999999999999,262.0,43.106593476931
27,89,2028.25102353096,-0.4266666666666666,264.0,43.465294870151936
28,92,1929.0031340122223,-0.3466666666666665,266.0,46.425562917703616
29,95,1963.388802051544,-0.2999999999999999,256.0,43.412621861018735
30,98,1955.4690282344816,-0.3333333333333332,258.0,42.28127483803448
31,101,1978.862283945084,-0.2333333333333332,246.0,25.83559218576987
32,104,1983.9111142158508,-0.1933333333333333,242.0,40.28349686905737
33,107,2019.120966672897,-0.2333333333333332,246.0,27.98257774422799
34,110,2047.5159108638763,-0.2599999999999999,254.0,25.82628927907764
35,113,2077.8906128406525,-0.2799999999999999,254.0,29.12859244628406
36,116,2056.785040855408,-0.2133333333333333,242.0,27.60532404755068
37,119,2084.907381296158,-0.2066666666666666,242.0,27.88142093652886
38,122,2069.2582120895386,-0.2999999999999999,256.0,35.42959245211711
39,125,2084.903152704239,-0.2599999999999999,250.0,28.05521390777637
40,128,2113.154372692108,-0.2733333333333332,258.0,35.97221669236657
41,131,2065.7559168338776,-0.3133333333333333,256.0,34.854155135284664
42,134,2080.921909570694,-0.3133333333333333,252.0,38.21009554326094
43,137,2057.787926912308,-0.3399999999999999,254.0,41.21708766390016
44,140,2102.2811875343323,-0.3533333333333333,266.0,38.15178715436403
45,143,2103.671464920044,-0.3799999999999999,268.0,38.35099942770982
46,146,2055.4681231975555,-0.3199999999999999,256.0,38.73849934129605
47,149,2106.347684860229,-0.3599999999999999,260.0,41.996475771732186
48,152,2069.5193905830383,-0.3599999999999999,260.0,43.09892248935508
49,155,2111.349404811859,-0.3199999999999999,258.0,43.45108136969692
50,158,2087.599373817444,-0.3933333333333332,266.0,41.34474393877683
51,161,2130.2207040786743,-0.4133333333333333,266.0,41.03480997075679
52,164,2092.847856998444,-0.4133333333333333,270.0,39.21482667292015
53,167,2114.9791712760925,-0.4199999999999999,270.0,39.18653141522197
54,170,2082.237186193466,-0.4266666666666666,274.0,38.92488666989537
55,173,2134.206781625748,-0.4666666666666665,270.0,38.91887851903024
56,176,2152.0484046936035,-0.2533333333333332,248.0,39.370489101480935
57,179,2171.875102519989,-0.2266666666666666,248.0,36.34048848374333
58,182,2152.082760334015,-0.3199999999999999,254.0,36.68551487643129
59,185,2178.6238176822662,-0.3666666666666666,266.0,37.230327915658606
60,188,2130.903677225113,-0.3533333333333333,266.0,37.35931285668105
