generation,num_eval,local_i,time,f_sur,f_IC,x0,x1,x2,x3,x4
1,6,0,2.05440092086792,20.561202950571296,0.7506066696634186,-0.0788712352514267,-0.1673481911420822,-0.4819980561733246,0.0676850229501724,0.0274910051375627
1,6,100,1.898570537567139,18.73041034288668,0.93488780851193,-0.2190990895032882,-0.1672600656747818,-0.4810533821582794,0.0685773715376854,0.0733265057206153
1,6,200,1.9620611667633057,20.99856372861818,0.6949242848139083,0.0386482328176498,-0.0144895333796739,-0.4711085855960846,0.0819517076015472,0.0481986328959465
1,6,300,1.966130018234253,20.41022440164208,0.7691562756602779,-0.1545211970806121,-0.0663586631417274,-0.4754450619220733,0.05204788595438,0.1143909394741058
1,6,400,2.0147500038146973,21.228670772836374,0.6647082997855192,-0.0122670419514179,-0.0659088790416717,-0.4672762751579284,0.0922389850020408,0.0416895896196365
1,6,500,1.973773002624512,18.35802664795092,0.955583729937586,-0.2205577194690704,-0.1197229623794555,-0.4750720560550689,0.068852499127388,0.0566097982227802
1,6,600,1.959697723388672,21.5190597470238,0.6259286596568518,-0.1617304384708404,-0.210380420088768,-0.4720720052719116,0.1226167455315589,0.0386655926704406
1,6,700,1.9618794918060305,21.521386116674403,0.6256156642580062,-0.3012469112873077,-0.0712953433394432,-0.4809857904911041,0.0340280011296272,0.1179993599653244
1,6,800,1.9145214557647705,20.60791036275902,0.7447909110104347,-0.2148776352405548,-0.0314195454120636,-0.4697378575801849,0.0491154938936233,0.0538432225584983
1,6,900,1.9214274883270264,21.295312436372484,0.6558651348960258,-0.0379223972558975,-0.0857578366994857,-0.4703812599182129,0.0967977792024612,0.025910809636116
2,9,0,1.9735949039459229,22.084214477567844,0.2648029243622614,0.228313609957695,0.0286241453140974,-0.4827786386013031,0.0623323507606983,0.0779963657259941
2,9,100,1.9310030937194824,20.389967631284986,0.4302392497778313,-0.0851448103785514,-0.0807332769036293,-0.4697859287261963,0.0812323465943336,0.0482276566326618
