generation,num_eval,time,evaluation,size,active_node
0,11,318.4900403022766,8.840617090463638,10656138,8
1,14,4825.54998922348,8.840617090463638,10656138,8
2,17,4123.633679389954,8.840617090463638,10656138,8
3,20,5361.165343761444,8.840617090463638,10656138,8
4,23,4807.904156923294,8.840617090463638,10656138,8
5,26,4517.086592197418,8.840617090463638,10656138,8
6,29,3612.364789962769,8.840617090463638,10656138,8
7,32,4096.168233394623,8.840617090463638,10656138,8
8,35,3863.542780637741,8.840617090463638,10656138,8
9,38,4618.648726224899,8.840617090463638,10656138,8
10,41,4185.877665281296,8.840617090463638,10656138,8
11,44,4483.364195108414,8.840617090463638,10656138,8
12,47,4157.864577770233,8.840617090463638,10656138,8
13,50,4080.876237630844,8.840617090463638,10656138,8
14,53,4566.22408413887,8.840617090463638,10656138,8
15,56,3532.9646031856537,8.840617090463638,10656138,8
16,59,4091.944008588791,8.840617090463638,10656138,8
17,62,4075.076495885849,8.840617090463638,10656138,8
18,65,4885.224126338959,8.840617090463638,10656138,8
19,68,3701.180166482925,8.840617090463638,10656138,8
20,71,3808.298204898834,8.840617090463638,10656138,8
21,74,4857.82443189621,8.840617090463638,10656138,8
22,77,3535.072769641876,8.840617090463638,10656138,8
23,80,4039.413074970245,8.840617090463638,10656138,8
24,83,4189.2762904167175,8.840617090463638,10656138,8
25,86,4930.159049272537,8.840617090463638,10656138,8
26,89,3985.529705286026,8.840617090463638,10656138,8
27,92,3932.193045854569,8.840617090463638,10656138,8
28,95,4866.12471985817,8.840617090463638,10656138,8
29,98,3773.8857867717743,8.840617090463638,10656138,8
30,101,3456.136114597321,8.840617090463638,10656138,8
31,104,4324.563347816467,8.840617090463638,10656138,8
32,107,3959.277186870575,8.840617090463638,10656138,8
33,110,4037.628684997559,8.840617090463638,10656138,8
34,113,4234.693096637726,8.840617090463638,10656138,8
35,116,4526.121961355209,8.840617090463638,10656138,8
36,119,3944.547053098679,8.840617090463638,10656138,8
37,122,4133.562922000885,8.840617090463638,10656138,8
38,125,3667.542116165161,8.840617090463638,10656138,8
39,128,4130.985591888428,8.840617090463638,10656138,8
40,131,4714.660269737244,8.840617090463638,10656138,8
41,134,3631.601834535599,8.840617090463638,10656138,8
42,137,4364.238276481628,8.840617090463638,10656138,8
43,140,4269.640360832214,8.840617090463638,10656138,8
44,143,3879.606452703476,8.840617090463638,10656138,8
45,146,4146.774336576462,8.840617090463638,10656138,8
46,149,4093.800050497055,8.840617090463638,10656138,8
47,152,5246.638711690903,8.840617090463638,10656138,8
48,155,6316.90428853035,8.840617090463638,10656138,8
49,158,6877.898390293121,8.840617090463638,10656138,8
50,161,4650.497184038162,8.840617090463638,10656138,8
51,164,4941.731936454773,8.840617090463638,10656138,8
52,167,5778.425700187683,8.840617090463638,10656138,8
53,170,4852.752087593079,8.840617090463638,10656138,8
54,173,5922.3759644031525,8.840617090463638,10656138,8
55,176,8811.619789600372,8.840617090463638,10656138,8
56,179,5248.251510381699,8.840617090463638,10656138,8
57,182,5209.28519320488,8.840617090463638,10656138,8
58,185,4268.188923120499,8.840617090463638,10656138,8
59,188,4183.247760295868,8.840617090463638,10656138,8
60,191,4303.218994140625,8.840617090463638,10656138,8
