generation,num_eval,local_i,time,f_sur,f_IC,x0,x1,x2,x3,x4
1,6,0,2.020373106002808,11.417088584224985,0.6030114918444264,-0.0146334180608391,0.2248120605945587,-0.009715967811644,-0.6002830266952515,0.7288296222686768
1,6,100,2.062666177749634,11.48872792908591,0.6825708928356149,-0.021372016519308,-0.1016975715756416,-0.1604613661766052,-0.6935573816299438,0.8027755618095398
1,6,200,1.8910775184631348,11.821712463559235,0.8407977439487978,0.0231847278773784,-0.5319017171859741,-0.5177026391029358,-0.5710248351097107,0.7970514297485352
1,6,300,1.906397819519043,11.679238312402322,0.6264411478726494,-0.0210483856499195,-0.2692148983478546,-0.279151052236557,-0.7463335394859314,0.6926093101501465
1,6,400,1.9373798370361328,11.91762301698204,0.9470268680506616,-0.1532351821660995,-0.4532711207866668,-0.5888112783432007,-0.5544441938400269,0.778603196144104
1,6,500,1.96885347366333,12.003794341227136,0.5824138778535363,0.055529486387968,-0.5298572182655334,-0.5026625394821167,-0.6636956930160522,0.562481164932251
1,6,600,1.937117576599121,11.69774501800498,0.7884016603867872,-0.0517127327620983,-0.4550564587116241,-0.4916884005069732,-0.656843900680542,0.6824620366096497
1,6,700,1.905839443206787,11.714175671209412,0.8205769159452603,-0.1131403148174285,-0.3784870207309723,-0.4957947134971618,-0.6106396317481995,0.6483883261680603
1,6,800,1.9040868282318115,11.68395532043062,0.7767375142006853,-0.0989804118871688,-0.316556304693222,-0.3582527935504913,-0.7157772779464722,0.7691521644592285
1,6,900,1.9633867740631104,11.744266723497176,0.9189416257938864,-0.0883731693029403,-0.3317715525627136,-0.3626600205898285,-0.660676121711731,0.9778637886047364
2,9,0,2.1173248291015625,12.306257707124178,3.844473821418857,0.1079070642590522,-0.1695837378501892,-0.0251036025583744,-0.7372221350669861,1.1149169206619265
2,9,100,2.0152838230133057,13.18379634642572,6.085207724840921,0.5363376140594482,-0.7637200355529785,-0.6967903971672058,-0.7216493487358093,-0.4673743546009063
2,9,200,2.015439510345459,13.471042536939931,4.21279753992535,0.1152732223272323,-0.3933795392513275,-0.7026066184043884,-0.56332927942276,-0.2837398052215576
2,9,300,2.1562631130218506,13.940093137277849,7.119813931860668,-0.3009640872478485,-0.1113574430346489,-0.692377507686615,-0.6344784498214722,-0.2344882637262344
2,9,400,1.9720790386199951,12.776477827847458,5.493220642952637,-0.2252797931432724,-0.3515509963035583,-0.6974823474884033,-0.6271125078201294,0.1552517414093017
2,9,500,1.9690306186676023,13.77538012622136,6.166232790218325,-0.0939815938472747,0.0347233340144157,-0.697869062423706,-0.5413589477539062,-0.7155418395996094
