generation,num_eval,local_i,time,f_sur,f_IC,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,11,0,1.9557671546936035,-5.888857220873987,0.0,0.5992619395256042,0.1367587894201278,0.4900542497634887,-0.3212970793247223,0.3171267807483673,0.7090508937835693,0.2334748059511184,0.3602164089679718,0.329066127538681,0.0053421561606228
1,11,100,1.96075439453125,-430.42902596141664,0.0,1.956824898719788,-1.1921309232711792,-1.2198057174682615,0.6218219995498657,-1.1282163858413696,1.6615723371505735,-0.5835200548171997,-1.0679312944412231,1.487057328224182,1.4949140548706057
1,11,200,2.243996381759644,-559.9859565510594,0.0,1.1138699054718018,-2.094367742538452,-1.3200085163116455,2.306755542755127,-1.462325096130371,2.362515926361084,-0.6801599264144897,-0.4384442269802093,0.3929818868637085,0.5993538498878479
1,11,300,1.86201810836792,-598.9053108353452,0.0,0.1327307969331741,-3.032401323318481,-1.4293769598007202,1.0832531452178955,1.0220255851745603,2.920222043991089,1.0908102989196775,-0.0886087119579315,0.0074433712288737,1.4383950233459473
1,11,400,1.868001699447632,-505.82603731348,0.0,0.1397138684988021,-1.4129045009613037,-2.440099000930786,1.1408839225769043,0.6769402623176575,1.8573929071426392,1.4802526235580444,-0.3037733137607574,0.98924720287323,2.496101856231689
1,11,500,1.8380823135375977,-701.5476510767039,0.0,-0.5613946318626404,-2.2371602058410645,-2.3497557640075684,1.1787304878234863,1.449658989906311,3.1182963848114014,1.5396606922149658,0.2502077519893646,0.1235554665327072,2.130046367645264
1,11,600,1.8540399074554443,-576.716993308803,0.0,0.1036577224731445,-3.0835742950439453,-1.5976780652999878,1.5569902658462524,0.7748503684997559,2.2875871658325195,1.3555073738098145,-0.1411130279302597,0.0723204016685485,1.809107780456543
1,11,700,1.8380823135375977,-603.4452770779386,0.0,-0.11818128824234,-3.013525009155273,-1.5988500118255615,1.1072824001312256,0.9280269145965576,2.762679100036621,1.1388381719589231,-0.0298594795167446,-0.0715803354978561,1.814453721046448
1,11,800,1.8779752254486084,-614.3346572942121,0.0,-0.1324258744716644,-2.9979519844055176,-1.6739627122879028,1.14291250705719,0.5535474419593811,2.7966384887695312,0.8507823944091797,-0.0790817961096763,-0.1686974912881851,1.8837171792984009
1,11,900,1.847057580947876,-622.4333752982286,0.0,0.0071152159944176,-3.2191193103790283,-1.4435102939605713,1.0920778512954712,1.0905057191848757,2.761774778366089,1.2105656862258911,-0.0874128490686416,-0.1013672053813934,1.758703112602234
2,14,0,1.9288392066955569,-323.0520819187374,0.0,0.1419289857149124,-2.438955545425415,-1.5485990047454834,1.6496728658676147,0.940123438835144,1.6582255363464355,0.9702417254447936,-0.4590289890766144,-0.3173685073852539,1.4712189435958862
2,14,100,1.987681865692139,-605.7402007039618,0.0,0.0521192736923694,-2.8926284313201904,-1.5702570676803589,1.1000210046768188,1.1330909729003906,2.9695804119110107,1.175165772438049,-0.0601019039750099,0.0367895700037479,1.4875223636627195
2,14,200,1.8330950736999512,-717.777955004167,0.0,-0.4140797555446625,-3.285025119781494,-1.828323602676392,1.1489101648330688,1.0373228788375854,2.6228995323181152,1.3735002279281616,0.0803661420941352,-0.2711452841758728,2.5097787380218506
2,14,300,1.8251159191131592,-593.1991841954654,0.0,-0.425780713558197,-2.999600887298584,-1.5725992918014526,0.9438255429267884,0.913561761379242,2.7866365909576416,1.5045156478881836,-0.1526341587305069,-0.2646803259849548,1.7612651586532593
2,14,400,1.819132328033448,-611.9406757872937,0.0,-0.0138598605990409,-3.194333791732788,-1.42741858959198,1.07090425491333,1.0931117534637451,2.730708599090576,1.2583187818527222,-0.0592981316149234,-0.0952104032039642,1.781278371810913
2,14,500,1.817138433456421,-655.7152969802446,0.0,-0.2470738738775253,-3.2781195640563965,-1.5739052295684814,1.103922724723816,1.176149845123291,2.6352925300598145,1.3986657857894895,-0.0259419865906238,-0.1990870982408523,2.155197858810425
2,14,600,1.8480556011199951,-600.8882647729997,0.0,0.1979974061250686,-3.329853057861328,-1.2018897533416748,1.0423786640167236,0.9736173748970032,2.723158597946167,1.1669267416000366,-0.1642436683177948,-0.0485405698418617,1.533990740776062
2,14,700,1.8570318222045896,-616.7156631898226,0.0,0.0355289243161678,-3.3973612785339355,-1.2763210535049438,1.0870158672332764,0.8064786791801453,2.6523895263671875,1.0517005920410156,-0.1296450495719909,-0.1618919968605041,1.807795047760009
2,14,800,1.8390729427337649,-618.7104071097419,0.0,-0.2648542821407318,-2.647709369659424,-1.920234441757202,0.756212592124939,1.1399914026260376,2.645995140075684,1.3501628637313845,-0.0426588021218776,0.0942202284932136,2.409703493118286
2,14,900,1.8550372123718264,-672.6728092196684,0.0,-0.5814993381500244,-2.1899502277374268,-2.367782592773437,1.166650414466858,1.3059916496276855,3.0575077533721924,1.4730767011642456,0.2258726060390472,0.0579108148813247,2.1297104358673096
3,17,0,2.099382877349853,-581.6682381888302,0.0,-0.8069804906845093,-2.09958291053772,-2.154915809631348,0.9661034345626832,1.221327781677246,2.9249329566955566,1.7822434902191162,0.0777273699641227,-0.0842787995934486,1.9346421957015991
3,17,100,1.844066381454468,-605.8249078348852,0.0,-0.0467725247144699,-3.4259932041168213,-1.2757843732833862,1.0279090404510498,1.115453839302063,2.519848585128784,1.3611745834350586,-0.1154622733592987,-0.2312379479408264,1.918615341186524
3,17,200,1.847057819366455,-534.7283012354563,0.0,0.4845212399959564,-3.0469212532043457,-1.1052182912826538,0.5646290183067322,0.996106207370758,2.5668623447418213,1.0528020858764648,-0.3794993758201599,0.1754278689622879,1.6814146041870115
3,17,300,1.841073989868164,-648.9282578176571,0.0,-0.111976221203804,-3.245384454727173,-1.567593336105347,1.1469935178756714,0.8130345940589905,2.741686582565308,1.0819872617721558,-0.0202537048608064,-0.1662811487913131,1.9775376319885247
3,17,400,1.8480556011199951,-707.6894706273299,0.0,-0.7208441495895386,-2.3165488243103027,-2.4427967071533203,1.2366697788238523,0.9455472826957704,3.0151798725128174,1.2314465045928955,0.2278644144535064,-0.0771489664912223,2.3942439556121826
3,17,500,1.8560340404510496,-639.2721689982814,0.0,-0.0916937217116355,-3.023071527481079,-1.6978247165679932,1.1299912929534912,0.8088253736495972,2.866907119750977,1.038200616836548,-0.0086256992071866,-0.0746756717562675,1.849625587463379
3,17,600,1.8400766849517824,-588.7783419202353,0.0,-0.1638012677431106,-2.7568533420562744,-1.7070668935775757,1.0904183387756348,1.0707216262817385,2.847674369812012,1.2499545812606812,0.0075862663798034,-0.0093325041234493,1.7716008424758911
3,17,700,1.835090398788452,-636.0570558823824,0.0,-0.0427961610257625,-3.262133836746216,-1.4863876104354858,1.1097124814987185,0.9264659285545348,2.7488691806793213,1.112069010734558,-0.0572887472808361,-0.127356007695198,1.8536489009857176
3,17,800,1.8360874652862549,-731.857553757729,0.0,-0.7801441550254822,-2.4755208492279053,-2.3540923595428467,1.1712872982025146,1.4157476425170898,2.8794150352478027,1.7419174909591677,0.2393330335617065,-0.0832826420664787,2.57205867767334
3,17,900,1.843069076538086,-657.4380437249365,0.0,0.0132048306986689,-3.4781622886657715,-1.3817116022109983,1.0627243518829346,0.7801334261894226,2.683244228363037,1.0699830055236816,-0.1089133992791175,-0.1902866065502166,1.9199858903884888
4,20,0,1.911884069442749,-652.2619176710847,0.0,-0.0999670028686523,-2.930967330932617,-1.7656080722808838,0.6237820982933044,1.0572707653045654,2.6121323108673096,1.2357184886932373,-0.0936600938439369,0.1288586258888244,2.5019001960754395
4,20,100,1.8380823135375977,-628.8083568434265,0.0,-0.375590980052948,-1.9876738786697388,-2.2934699058532715,0.7898834347724915,1.2569594383239746,2.93200945854187,1.3730413913726809,0.0571324788033962,0.3102429509162903,2.309247732162476
4,20,200,1.854039430618286,-598.1152538364095,0.0,-0.0500498749315738,-3.316703081130981,-1.3114972114562988,1.0108721256256104,1.061484694480896,2.59216856956482,1.292103290557861,-0.1154218167066574,-0.1670716553926468,1.862713932991028
4,20,300,1.849052906036377,-698.5202917642785,0.0,-0.2841486036777496,-3.3739802837371826,-1.623485088348389,1.130988597869873,1.1386020183563232,2.68619441986084,1.395034670829773,0.0234453231096267,-0.2221400588750839,2.2407658100128174
4,20,400,1.8400771617889404,-692.140424217104,0.0,-0.2871283888816833,-3.112961530685425,-1.8060789108276367,1.1799991130828855,0.878166139125824,2.880326747894287,1.1342730522155762,0.016918322071433,-0.1276633590459823,2.067680835723877
4,20,500,1.849053144454956,-614.5509926166493,0.0,0.0504240207374095,-3.072936773300171,-1.4988337755203247,1.103175401687622,1.0796406269073486,2.874407291412353,1.1601712703704834,-0.081695482134819,-0.0630874261260032,1.6286813020706177
4,20,600,1.8470582962036133,-671.9098372721327,0.0,-0.2236233949661255,-3.151787519454956,-1.7016972303390503,1.1050585508346558,1.0281261205673218,2.813645124435425,1.2459042072296145,0.0061445762403309,-0.1236465200781822,2.055166006088257
4,20,700,1.9577653408050537,-554.8240632030956,0.0,0.2476520091295242,-2.633882999420166,-1.5529701709747314,0.4635474979877472,0.8797910809516907,2.696356296539306,0.9429981708526612,-0.2807449400424957,0.3285261392593384,1.9912211894989007
4,20,800,1.9487860202789309,-637.5484536525269,0.0,-0.1194830164313316,-3.15732741355896,-1.5748944282531738,1.0840682983398438,1.19754159450531,2.7379252910614014,1.354266881942749,-0.0531104877591133,-0.1041883900761604,1.9307162761688232
4,20,900,1.9747169017791748,-649.3931910951724,0.0,-0.3064859509468078,-3.0306167602539062,-1.7424798011779783,1.1060714721679688,1.2184686660766602,2.75243878364563,1.3902658224105835,0.003211508737877,-0.1387516111135482,2.107053756713867
5,23,0,1.8899428844451904,-463.23824415113455,0.0,0.0773229897022247,-2.843466281890869,-1.2158441543579102,0.8907792568206787,0.9300931692123412,2.514624118804932,1.204746961593628,-0.1684434860944748,-0.0338139198720455,1.4368232488632202
