generation,num_eval,time,evaluation,size,active_node
0,11,1139.7986052036283,9.521905690431597,11166140,7
1,14,5614.586355447769,9.521905690431597,11166140,7
2,17,5821.546063899994,9.521905690431597,11166140,7
3,20,6936.865172386169,9.521905690431597,11166140,7
4,23,4843.53270483017,9.521905690431597,11166140,7
5,26,5319.357683181763,9.521905690431597,11166140,7
6,29,5113.725352048874,9.521905690431597,11166140,7
7,32,3625.9571964740753,9.521905690431597,11166140,7
8,35,4012.293351650238,9.521905690431597,11166140,7
9,38,5575.699115991592,9.521905690431597,11166140,7
10,41,5171.647548913956,9.521905690431597,11166140,7
11,44,5975.407239437103,9.521905690431597,11166140,7
12,47,6261.695061922073,9.521905690431597,11166140,7
13,50,5467.2797565460205,9.521905690431597,11166140,7
14,53,5833.441002368927,9.521905690431597,11166140,7
15,56,5190.642349720001,9.521905690431597,11166140,7
16,59,5608.020758390427,9.521905690431597,11166140,7
17,62,4334.376237869263,9.521905690431597,11166140,7
18,65,4784.633698225021,9.521905690431597,11166140,7
19,68,4566.786210536957,9.521905690431597,11166140,7
20,71,5608.502902269363,9.521905690431597,11166140,7
21,74,5264.620804309845,9.521905690431597,11166140,7
22,77,3789.370514392853,9.521905690431597,11166140,7
23,80,4848.6479024887085,9.521905690431597,11166140,7
24,83,3854.73796248436,9.521905690431597,11166140,7
25,86,5276.28261756897,9.521905690431597,11166140,7
26,89,4593.238957643509,9.521905690431597,11166140,7
27,92,4458.7606546878815,9.521905690431597,11166140,7
28,95,4137.806269168854,9.521905690431597,11166140,7
29,98,4141.149307727814,9.521905690431597,11166140,7
30,101,4057.444968700409,9.521905690431597,11166140,7
31,104,3554.607764482498,9.521905690431597,11166140,7
32,107,4499.148587226868,9.521905690431597,11166140,7
33,110,3778.414328813553,9.521905690431597,11166140,7
34,113,5225.394084453583,9.521905690431597,11166140,7
35,116,6040.669162988663,9.521905690431597,11166140,7
36,119,5753.729511260986,9.521905690431597,11166140,7
37,122,5039.815890073776,9.521905690431597,11166140,7
38,125,5397.6945741176605,9.521905690431597,11166140,7
39,128,5759.696506261826,9.521905690431597,11166140,7
40,131,7995.379755020142,9.521905690431597,11166140,7
41,134,5760.010467529297,9.521905690431597,11166140,7
42,137,4568.9979338645935,9.521905690431597,11166140,7
43,140,5045.087796211243,9.521905690431597,11166140,7
44,143,5435.453830242157,9.521905690431597,11166140,7
45,146,5559.528903245926,9.521905690431597,11166140,7
46,149,4917.584956645966,9.521905690431597,11166140,7
47,152,4455.005533456802,9.521905690431597,11166140,7
48,155,7667.50951051712,9.521905690431597,11166140,7
49,158,5991.598381519318,9.521905690431597,11166140,7
50,161,5585.581773996353,9.521905690431597,11166140,7
51,164,5945.920202255249,9.521905690431597,11166140,7
52,167,5315.980193376541,9.521905690431597,11166140,7
53,170,4499.928080320358,9.521905690431597,11166140,7
54,173,3822.572667837143,9.521905690431597,11166140,7
55,176,3540.257796764374,9.521905690431597,11166140,7
56,179,5410.900208711624,9.521905690431597,11166140,7
57,182,3994.4003779888153,9.521905690431597,11166140,7
58,185,4351.698423862457,9.521905690431597,11166140,7
59,188,3406.818019866944,9.521905690431597,11166140,7
60,191,4539.8593492507935,9.521905690431595,11166140,7
